6-EBAP-29A-SB-IN,SISTEMA DE INSTRUMENTACION Y CONTROL,P,5-EBAP-29A-SB
7-EBAP-29A-SB-IN-HMI,HMI,VFP,6-EBAP-29A-SB-IN
7-EBAP-29A-SB-IN-PLC,CONTROLADOR PROGRAMABLE PLC,VFP,6-EBAP-29A-SB-IN
7-EBAP-29A-SB-IN-RTU,RTU,VFP,6-EBAP-29A-SB-IN
7-EBAP-29A-SB-IN-SWE,SWITCH ETHERNET,VFP,6-EBAP-29A-SB-IN
7-EBAP-29A-SB-IN-UAC,UPS AC,VFP,6-EBAP-29A-SB-IN
6-EBAP-29A-SB-MT,MEDIA TENSION,P,5-EBAP-29A-SB
7-EBAP-29A-SB-MT-TRF,TRANSFORMADOR TRIFASICO SISTEMA DE TRANSFORMACION PRINCIPAL,VFP,6-EBAP-29A-SB-MT
6-EBAP-29A-SB-SP,SISTEMA DE PROTECCION,P,5-EBAP-29A-SB
7-EBAP-29A-SB-SP-PRT,PUESTA A TIERRA CISTERNA SISTEMA DE PROTECCION,VFP,6-EBAP-29A-SB-SP
6-EBAP-29A-SB-TM,TELEMETRIA,P,5-EBAP-29A-SB
7-EBAP-29A-SB-TM-RD1,RADIO TRIO SCADA RADIO 1,VFP,6-EBAP-29A-SB-TM
7-EBAP-29A-SB-TM-RD2,RADIO MODEM DNP3 SCADA RADIO 2,VFP,6-EBAP-29A-SB-TM
7-EBAP-29A-SB-TM-UDC,SISTEMA DE RESPALDO DE ENERGIA SCADA UPS DC,VFP,6-EBAP-29A-SB-TM
4-EBAP-9EN,ESTACION DE BOMBEO AAPP 9 DE ENERO,P,-
5-EBAP-9EN-IF,INFRAESTRUCTURA,P,4-EBAP-9EN
6-EBAP-9EN-IF-ES,ESTRUCTURA,P,5-EBAP-9EN-IF
7-EBAP-9EN-IF-ES-INF,None ESTRUCTURAS DE LA ESTACION,VFP,6-EBAP-9EN-IF-ES
5-EBAP-9EN-SB,SISTEMA DE BOMBEO,P,4-EBAP-9EN
6-EBAP-9EN-SB-BM,BOMBEO,P,5-EBAP-9EN-SB
7-EBAP-9EN-SB-BM-GB1,MOTOR 1 GRUPO 1,VFP,6-EBAP-9EN-SB-BM
7-EBAP-9EN-SB-BM-GB2,BANCO DE CAPACITORES 2 GRUPO 2,VFP,6-EBAP-9EN-SB-BM
6-EBAP-9EN-SB-DI,SISTEMA DE DISTRIBUCION,P,5-EBAP-9EN-SB
7-EBAP-9EN-SB-DI-LCP,TABLERO DE CONTROL CISTERNA TABLERO DE CONTROL/FUERZA,VFP,6-EBAP-9EN-SB-DI
7-EBAP-9EN-SB-DI-MCC,CENTRO DE CARGA,VFP,6-EBAP-9EN-SB-DI
7-EBAP-9EN-SB-DI-MPE,MEDIDOR DE PARAMETROS ELECTRICOS,VFP,6-EBAP-9EN-SB-DI
7-EBAP-9EN-SB-DI-MTP,TABLERO DE MEDIDOR,VFP,6-EBAP-9EN-SB-DI
7-EBAP-9EN-SB-DI-PWP,TABLERO DE FUERZA CISTERNA TABLERO DE FUERZA,VFP,6-EBAP-9EN-SB-DI
6-EBAP-9EN-SB-IL,SISTEMA DE ILUMINACION,P,5-EBAP-9EN-SB
7-EBAP-9EN-SB-IL-ILE,ILUMINACION EXTERNA CISTERNA ILUMINACION EXTERNA,VFP,6-EBAP-9EN-SB-IL
7-EBAP-9EN-SB-IL-ILI,ILUMINACION INTERNA CISTERNA ILUMINACION INTERNA,VFP,6-EBAP-9EN-SB-IL
6-EBAP-9EN-SB-IN,SISTEMA DE INSTRUMENTACION Y CONTROL,P,5-EBAP-9EN-SB
7-EBAP-9EN-SB-IN-HMI,HMI,VFP,6-EBAP-9EN-SB-IN
7-EBAP-9EN-SB-IN-LIT,TRANSDUCTOR DE NIVEL CISTERNA SENSOR DE NIVEL,VFP,6-EBAP-9EN-SB-IN
7-EBAP-9EN-SB-IN-LSW,SISTEMA DE BOYA ANTICAVITACION SISTEMA DE BOYAS/ELECTRODOS,VFP,6-EBAP-9EN-SB-IN
7-EBAP-9EN-SB-IN-PLC,CONTROLADOR PROGRAMABLE PLC,VFP,6-EBAP-9EN-SB-IN
7-EBAP-9EN-SB-IN-UAC,UPS AC,VFP,6-EBAP-9EN-SB-IN
