01-Estaciones Telemétricas.Radio.DNP3.03-138-Bastion Norte-60-85,01-Estaciones Telemétricas.Radio.DNP3.03-138-Bastion Norte-60-85    Alarmas Activas: 0,-2.11137,-79.9744,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-123-Urbanor - Booster 2B,01-Estaciones Telemétricas.Radio.DNP3.03-123-Urbanor - Booster 2B     Alarmas Activas: 0,-2.15691,-79.9087,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-124-Javier Salitral,01-Estaciones Telemétricas.Radio.DNP3.03-124-Javier Salitral    Alarmas Activas: 0,-2.18565,-79.9464,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-142-Virgen del Cisne - 25 de Julio Parte Alta,01-Estaciones Telemétricas.Radio.DNP3.03-142-Virgen del Cisne - 25 de Julio Parte Alta    Alarmas Activas: 0,-2.17725,-79.9295,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-144-Virgen del Cisne - 25 de Julio Parte Baja,01-Estaciones Telemétricas.Radio.DNP3.03-144-Virgen del Cisne - 25 de Julio Parte Baja    Alarmas Activas: 0,-2.18972,-79.9325,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-145-Lagunas Guayacanes Samanes,01-Estaciones Telemétricas.Radio.DNP3.03-145-Lagunas Guayacanes Samanes    Alarmas Activas: 0,-2.1204,-79.8823,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-146-Mi Lote AASS,01-Estaciones Telemétricas.Radio.DNP3.03-146-Mi Lote AASS    Alarmas Activas: 0,-2.05258,-79.9847,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-147-Mapasingue Este Parte Baja,01-Estaciones Telemétricas.Radio.DNP3.03-147-Mapasingue Este Parte Baja    Alarmas Activas: 0,-2.15648,-79.921,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-148-Las Cumbres,01-Estaciones Telemétricas.Radio.DNP3.03-148-Las Cumbres    Alarmas Activas: 0,-2.15662,-79.9406,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-149-Guasmo D,01-Estaciones Telemétricas.Radio.DNP3.03-149-Guasmo D    Alarmas Activas: 0,-2.24982,-79.9072,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-150-Sergio Toral 30-60,01-Estaciones Telemétricas.Radio.DNP3.03-150-Sergio Toral 30-60    Alarmas Activas: 0,-2.1125,-79.9832,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-151-Sergio Toral 60-85,01-Estaciones Telemétricas.Radio.DNP3.03-151-Sergio Toral 60-85    Alarmas Activas: 0,-2.11201,-79.9826,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-152-Garzota,01-Estaciones Telemétricas.Radio.DNP3.03-152-Garzota    Alarmas Activas: 0,-2.14526,-79.8856,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-139-Bastion Norte-85-110,01-Estaciones Telemétricas.Radio.DNP3.03-139-Bastion Norte-85-110    Alarmas Activas: 0,-2.11239,-79.9753,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-140-Planta Pradera,01-Estaciones Telemétricas.Radio.DNP3.03-140-Planta Pradera    Alarmas Activas: 0,-2.24017,-79.8853,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-141-Tanque 10-35 Norte Flor de Bastion,01-Estaciones Telemétricas.Radio.DNP3.03-141-Tanque 10-35 Norte Flor de Bastion    Alarmas Activas: 0,-2.09387,-79.9564,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-166-VRP Barcelona,01-Estaciones Telemétricas.Radio.DNP3.03-166-VRP Barcelona    Alarmas Activas: 0,-2.19336,-79.9359,0,0,0,0,0
